,FileName,Center (px) (x-axis),Center (px) (y-axis),Diameter (px) (x-axis),Diameter (px) (y-axis),Diameter (px),Calculated Center X,Calculated Center Y,Calculated  Diameter,Difference Center,Difference Diameter
375,940_102A_7,219,176,10,14,"17,20",219.0,179.0,15.0,3,"2,204650534"
377,940_102A_8,198,177,12,8,"14,42",197.0,182.0,14.0,"5,099019514","0,422205102"
379,940_102A_9,217,176,8,12,"14,42",217.0,180.0,14.0,4,"0,422205102"
385,940_102A_lt,206,171,12,10,"15,62",212.0,172.0,15.0,"6,08276253","0,620499352"
387,940_102A_rb,171,182,7,16,"17,46",175.0,183.0,17.0,"4,123105626","0,464249197"
389,940_102A_rt,152,154,11,10,"14,87",151.0,153.0,14.0,"1,414213562","0,866068747"
391,850_104A_1,195,184,9,10,"13,45",197.0,183.0,14.0,"2,236067977","0,546375953"
392,850_104A_1_g,185,172,11,8,"13,60",184.0,173.0,14.0,"1,414213562","0,398529491"
395,850_104A_2,179,148,13,5,"13,93",182.0,150.0,13.0,"3,605551275","0,928388277"
397,850_104A_3,186,166,12,10,"15,62",185.0,165.0,14.0,"1,414213562","1,620499352"
399,850_104A_4,187,188,12,8,"14,42",186.0,188.0,15.0,1,"0,577794898"
400,850_104A_4_g,155,166,15,8,"17,00",157.0,167.0,15.0,"2,236067977",2
401,850_104A_5,192,180,13,9,"15,81",191.0,180.0,15.0,1,"0,811388301"
402,850_104A_5_g,168,174,13,9,"15,81",167.0,177.0,12.0,"3,16227766","3,811388301"
403,850_104A_6,198,185,11,10,"14,87",198.0,187.0,14.0,2,"0,866068747"
406,850_104A_7_g,177,161,13,10,"16,40",176.0,166.0,13.0,"5,099019514","3,401219467"
408,850_104A_8_g,174,189,14,7,"15,65",172.0,193.0,8.0,"4,472135955","7,652475842"
411,850_104A_cam,213,153,8,9,"12,04",212.0,152.0,13.0,"1,414213562","0,958405421"
416,850_104A_lt_g,179,174,14,8,"16,12",183.0,176.0,11.0,"4,472135955","5,124515497"
417,850_104A_rb,158,178,11,7,"13,04",157.0,178.0,13.0,1,"0,03840481"
418,850_104A_rb_g,141,168,11,7,"13,04",141.0,172.0,9.0,4,"4,03840481"
419,850_104A_rt,186,166,12,6,"13,42",183.0,165.0,13.0,"3,16227766","0,416407865"
421,940_150A_1,181,157,13,10,"16,40",182.0,157.0,15.0,1,"1,401219467"
425,940_150A_2,174,169,11,14,"17,80",177.0,171.0,14.0,"3,605551275","3,804493815"
427,940_150A_3,185,164,15,9,"17,49",187.0,167.0,16.0,"3,605551275","1,492855685"
429,940_150A_4,189,190,12,9,"15,00",186.0,194.0,12.0,5,3
431,940_150A_5,201,192,15,10,"18,03",204.0,194.0,14.0,"3,605551275","4,027756377"
435,940_150A_7,219,178,15,7,"16,55",220.0,181.0,13.0,"3,16227766","3,552945357"
437,940_150A_8,209,174,13,8,"15,26",209.0,178.0,13.0,4,"2,264337522"
439,940_150A_9,181,179,15,9,"17,49",183.0,184.0,14.0,"5,385164807","3,492855685"
441,940_150A_cam,182,168,11,13,"17,03",183.0,166.0,16.0,"2,236067977","1,029386366"
445,940_150A_lt,214,149,11,11,"15,56",217.0,149.0,12.0,3,"3,556349186"
447,940_150A_rb,174,186,15,8,"17,00",173.0,189.0,16.0,"3,16227766",1
449,940_150A_rt,165,172,12,9,"15,00",164.0,170.0,15.0,"2,236067977",0
452,kh_730_cam2_g,166,154,11,13,"17,03",170.0,152.0,11.0,"4,472135955","6,029386366"
454,kh_730_lb2_g,187,204,7,11,"13,04",187.0,205.0,10.0,1,"3,03840481"
455,kh_730_lt2,188,153,9,13,"15,81",187.0,151.0,14.0,"2,236067977","1,811388301"
456,kh_730_lt2_g,175,182,5,15,"15,81",174.0,181.0,14.0,"1,414213562","1,811388301"
462,kh_850_cam2,153,156,10,8,"12,81",153.0,154.0,12.0,2,"0,806248475"
464,kh_850_lb2,185,179,7,11,"13,04",179.0,185.0,14.0,"8,485281374","0,96159519"
465,kh_850_lt_g,190,169,10,11,"14,87",188.0,167.0,14.0,"2,828427125","0,866068747"
466,kh_850_lt2,187,148,9,12,"15,00",186.0,147.0,13.0,"1,414213562",2
469,kh_850_rt_g,141,153,15,8,"17,00",138.0,154.0,13.0,"3,16227766",4
470,kh_850_rt2,121,153,11,9,"14,21",120.0,155.0,11.0,"2,236067977","3,212670404"
471,kh_940_cam,212,206,15,10,"18,03",220.0,204.0,26.0,"8,246211251","7,972243623"
473,kh_940_cam2,154,168,11,7,"13,04",158.0,166.0,19.0,"4,472135955","5,96159519"
474,kh_940_lb,236,227,12,10,"15,62",227.0,233.0,20.0,"10,81665383","4,379500648"
477,kh_940_lt,232,196,10,14,"17,20",233.0,195.0,18.0,"1,414213562","0,795349466"
483,kh_940_rt,206,221,9,12,"15,00",210.0,218.0,23.0,5,8
485,kh_940_rt2,159,157,8,10,"12,81",162.0,156.0,19.0,"3,16227766","6,193751525"
486,mv_940V_cam,144,129,7,12,"13,89",139.0,128.0,19.0,"5,099019514","5,107556011"
492,mv_940V_lb,158,156,7,9,"11,40",154.0,154.0,14.0,"4,472135955","2,598245749"
493,mv_940V_lt,164,141,9,10,"13,45",161.0,137.0,14.0,5,"0,546375953"
494,mv_940V_rb,139,140,9,9,"12,73",133.0,141.0,18.0,"6,08276253","5,272077939"
495,mv_940V_rt,158,139,7,9,"11,40",152.0,135.0,19.0,"7,211102551","7,598245749"
496,mv_730_rt_g,129,112,10,5,"11,18",130.0,113.0,11.0,"1,414213562","0,180339887"
497,mv_730_rb_g,158,136,6,4,"7,21",157.0,137.0,10.0,"1,414213562","2,788897449"
